province,Target,Year,Supply to Hanoi,Target_1,Rice supply
Northern midlands and mountain areas,Hanoi,2018,28472.68,Hanoi rural,6719.90
Northern midlands and mountain areas,Hanoi,2016,13697.17,Hanoi rural,3615.24
Northern midlands and mountain areas,Hanoi,2014,16662.81,Hanoi rural,3823.74
Northern midlands and mountain areas,Hanoi,2012,14880.74,Hanoi rural,3596.83
Northern midlands and mountain areas,Hanoi,2010,11178.24,Hanoi rural,2813.83
Red river delta,Hanoi,2022,184747.35,Hanoi urban,146214.93
Red river delta,Hanoi,2020,238821.36,Hanoi urban,180940.53
Red river delta,Hanoi,2018,233356.20,Hanoi urban,178281.29
Red river delta,Hanoi,2016,209937.44,Hanoi urban,154526.44
Red river delta,Hanoi,2014,179724.77,Hanoi urban,138481.96
Red river delta,Hanoi,2012,198986.35,Hanoi urban,150889.30
Red river delta,Hanoi,2010,201711.48,Hanoi urban,150935.84
Red river delta,Hanoi,2022,184747.35,Hanoi rural,38532.42
Red river delta,Hanoi,2020,238821.36,Hanoi rural,57880.84
Red river delta,Hanoi,2018,233356.20,Hanoi rural,55074.91
Red river delta,Hanoi,2016,209937.44,Hanoi rural,55411.00
Red river delta,Hanoi,2014,179724.77,Hanoi rural,41242.81
Red river delta,Hanoi,2012,198986.35,Hanoi rural,48097.05
Red river delta,Hanoi,2010,201711.48,Hanoi rural,50775.65
South East,Hanoi,2022,2325.79,Hanoi urban,1840.70
South East,Hanoi,2020,2874.57,Hanoi urban,2177.89
South East,Hanoi,2018,2786.68,Hanoi urban,2128.99
South East,Hanoi,2016,2066.55,Hanoi urban,1521.11
South East,Hanoi,2014,1656.67,Hanoi urban,1276.50
South East,Hanoi,2012,1949.40,Hanoi urban,1478.21
South East,Hanoi,2010,1852.79,Hanoi urban,1386.40
South East,Hanoi,2022,2325.79,Hanoi rural,485.09
South East,Hanoi,2020,2874.57,Hanoi rural,696.68
South East,Hanoi,2018,2786.68,Hanoi rural,657.69
South East,Hanoi,2016,2066.55,Hanoi rural,545.45
South East,Hanoi,2014,1656.67,Hanoi rural,380.17
South East,Hanoi,2012,1949.40,Hanoi rural,471.19
South East,Hanoi,2010,1852.79,Hanoi rural,466.39
